player,position,proj_ppr,proj_std,rec,sources_used
Parker Washington,JAX,WR,224.4,145.9,78.5,3
Christian Watson,GB,WR,223.7,156.4,67.2,3
Jameson Williams,DET,WR,222.6,157.4,65.2,3
Terry McLaurin,WAS,WR,222.1,146.9,75.2,3
Alec Pierce,IND,WR,220.0,153.7,66.2,3
Rome Odunze,CHI,WR,218.3,147.3,71.0,3
Marvin Harrison Jr.,ARI,WR,218.1,141.6,76.5,3
Davante Adams,LAR,WR,216.2,145.5,70.8,3
Mike Evans,SF,WR,213.6,145.1,68.5,3
DK Metcalf,PIT,WR,213.5,143.8,69.8,3
Brian Thomas Jr.,JAX,WR,210.3,141.3,69.0,3
Quentin Johnston,LAC,WR,195.3,132.3,63.0,3
Michael Pittman Jr.,PIT,WR,192.4,111.9,80.5,3
Chris Godwin Jr.,TB,WR,191.4,113.9,77.5,3
Wan'Dale Robinson,TEN,WR,191.0,108.2,82.8,3
Michael Wilson,ARI,WR,187.3,117.1,70.2,3
Josh Downs,IND,WR,186.3,106.8,79.5,3
Stefon Diggs,WAS,WR,180.7,110.2,70.5,3
Jordan Addison,MIN,WR,180.2,124.0,56.2,3
Courtland Sutton,DEN,WR,177.8,115.8,62.0,3
Jayden Higgins,HOU,WR,174.0,112.8,61.2,3
Jakobi Meyers,JAX,WR,169.4,100.7,68.8,3
Jayden Reed,GB,WR,168.1,109.6,58.5,3
Khalil Shakir,BUF,WR,165.2,99.4,65.8,3
Romeo Doubs,NE,WR,163.8,106.5,57.2,3
Xavier Worthy,KC,WR,160.8,109.8,51.0,3
Makai Lemon,PHI,WR,160.6,102.8,57.8,3
Malik Washington,MIA,WR,155.9,90.1,65.8,3
Rashid Shaheed,SEA,WR,153.8,99.6,54.2,3
Matthew Golden,GB,WR,153.4,100.2,53.2,3
De'Zhaun Stribling,SF,WR,152.3,98.8,53.5,3
Jalen Coker,CAR,WR,151.8,94.0,57.8,3
KC Concepcion,CLE,WR,150.6,92.1,58.5,3
Jordyn Tyson,NO,WR,144.2,95.2,49.0,3
Tre Tucker,LV,WR,142.4,90.7,51.8,3
Deebo Samuel Sr.,SF,WR,138.1,85.8,52.2,3
Jauan Jennings,MIN,WR,135.4,87.4,48.0,2
Omar Cooper Jr.,NYJ,WR,133.1,84.1,49.0,3
Denzel Boston,CLE,WR,132.9,85.4,47.5,3
Travis Hunter,JAX,WR,130.1,84.6,45.5,3
Jalen Nailor,LV,WR,128.6,82.8,45.8,3
Jerry Jeudy,CLE,WR,115.9,73.9,42.0,3
Pat Bryant,DEN,WR,115.0,71.2,43.8,3
Cooper Kupp,SEA,WR,113.4,68.6,44.8,3
Ja'Kobi Lane,BAL,WR,113.0,76.0,37.0,3
